groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,677449.24609375,708237.42578125,736181.09765625,725457.912109375,88968.95611757616,114294.66298453131,92170.46731266646,102360.10869725484
dmso,828646.7111842105,635087.9631578948,868784.3641447368,629048.1519736842,140939.3845442213,74258.56979029278,114770.26575999039,59059.78545816395
lib,658370.8851388888,529398.5254166666,713328.2165277777,546807.78375,178495.11960587229,107237.13698521296,175902.2662401682,98058.78186513176
staur,321525.576171875,326960.701171875,339573.5087890625,309160.640625,35700.59355415728,19832.293317251995,57382.79144308296,14756.280609922003
