Well,run1_Avg_2000,run1_SD_2000,run1_Avg_200,run1_SD_200,run3_Avg_200,run3_SD_200,run3_Avg_2000,run3_SD_2000,run3_Avg_5000,run3_SD_5000
A01,1.2674974154754135,0.07328612447389059,1.0021900366418663,0.03670807949990345,1.0510403426019368,0.13823119105561332,0.9769528246043077,0.06462215904320423,0.9667943692725212,0.011300290070508248
A02,1.1302646532063845,0.05106780230165195,1.058104791325548,0.08360707016195075,0.9732541398572381,0.01677025211891011,0.982911718449776,0.016630805545457723,0.9425338172652848,0.014169856543632769
A03,1.0629960098344633,0.10610069344941048,1.0102135677322792,0.0840224645381189,0.91066339638767,0.048030056295417754,0.9528502604362035,0.07264727839467097,0.901463957798497,0.01778808264810196
A04,1.131272442809843,0.07630166123292367,1.0165817055314583,0.03102318457780255,0.9105896006406575,0.08850882653646203,0.9867480842157319,0.05837066327339813,1.0057285627398422,0.035307266230592105
A05,0.9410742615135516,0.06058591835232891,0.9716248702876112,0.03669581041495382,0.9195800978118271,0.0759628075792368,0.9925143307312599,0.07651027667901847,1.0230127089693717,0.024250151212943938
A06,1.088991430968532,0.05481096590145244,1.018086402290002,0.03413573718079733,0.8758813255993042,0.1146968363228497,0.9962815278019219,0.030526851477785742,1.090524633120437,0.0674780878886478
A07,1.137638632492527,0.08065943167238666,1.0119639217940974,0.06364755225441562,0.9312779988591132,0.11230414691035855,1.0754987788988977,0.06288996692136191,0.9949902127756907,0.06206556482019474
A08,1.2096698856735566,0.09442710920175636,1.0577182712895372,0.03480805339055382,0.9494420423599059,0.07700111235579285,1.1294292666981924,0.05374957806813147,1.050039010067689,0.07629597628074339
A09,1.136704622961169,0.08769829075539014,1.0459579092725773,0.05991423539287407,0.952300651711222,0.1040629446681885,1.0402084505881373,0.06358165422807807,0.9215676892120881,0.050076326742715956
A10,1.026090942681177,0.10335647822985893,0.9932807030929984,0.0499416117222343,0.662897273228631,0.07413115387870277,0.8689615139049033,0.06555018342355012,0.8555070160429927,0.047719519209919035
A11,0.8651422053251479,0.0760442179793761,0.955525517135079,0.04615593922122519,0.884380796152403,0.06570597833709386,0.7902667830672033,0.05716393382869472,0.7228955619361725,0.028536273066146225
A12,0.2185570383983711,0.0178828861878572,0.19419320364812304,0.01383787256069735,0.19728942635787933,0.003976851782142756,0.1947505941740385,0.01945091644380414,0.2058558980887353,0.0023757356464172343
B01,1.0683025266705073,0.0895386435040845,1.014628869525916,0.04330382059586073,0.9941584911190657,0.13405858757179984,0.9682756796475821,0.027514587895293003,0.7892912979883187,0.016056902679514883
B02,0.966714504252564,0.01345655595700604,0.9405652548563874,0.03308673124814013,0.9147364929894756,0.04151058031566713,0.9536445888723311,0.006807857239700926,0.9929314882740452,0.002018589064290077
B03,0.47477271042500296,0.03447882486988584,0.4464903141611246,0.03645064107852032,0.3646043332688818,0.04036491343440456,0.37176925554296614,0.0029523433440074138,0.43034341833220446,0.007368565599057858
B04,0.6830603761569328,0.03423381974814016,0.8683658011361286,0.03056109868935383,0.8035655715363753,0.1163926794901052,0.7406196190064614,0.02492344519922897,0.7590395489533976,0.018454594799639023
B05,0.6659245031130047,0.00528968667984922,0.9273816855256488,0.013072406131921,0.8678899908150012,0.07416463765797547,0.7151300630028669,0.04033452168482506,0.7047966785824973,0.02048701236065328
B06,0.7640180890441298,0.03312467647865163,0.8609869241575782,0.02640649161045582,0.7801671912958114,0.09475053622315535,0.6967777959799828,0.021938382592397745,0.7165417944902451,0.03746519324239668
B07,0.43197224894800273,0.04182002482703054,1.0081778974757616,0.05524596175844417,0.8981258430365042,0.14292795684362924,0.4918926412471467,0.042135662643687656,0.4579612191448564,0.014536234522568688
B08,0.5296927544519848,0.01621359165764938,1.0017099417366606,0.09712057578067498,0.9208912576050756,0.09702217463482117,0.5825414445334136,0.03716178647288888,0.48609107420594666,0.016673312772838924
B09,1.013985394804107,0.1095126506744067,0.962576665455022,0.06006166246692789,0.8982854065838944,0.07248014986727398,0.9782975930096146,0.06447810000675354,0.94465778404544,0.026030142830716523
B10,0.3723535396284307,0.03612993854331474,0.5109163473484517,0.03538764233276285,0.35676798069050186,0.018124046159058296,0.3336325123028925,0.030136079392672876,0.3538504360676248,0.007163176654694002
B11,0.45090569829148475,0.04692620599851523,0.504417964446991,0.0304162663060114,0.3446457716268228,0.02616462211904436,0.3507183779594327,0.02734629454028202,0.3652977971963108,0.012902300762790506
B12,0.218132517002495,0.02103206671904587,0.1938365720429775,0.01572378260965067,0.1934005529130973,0.006888947384246124,0.19062011571139545,0.014912612604901216,0.20438228365762987,0.00491885686144845
C01,1.0650403644936663,0.04407818006306061,0.9846718575829098,0.06245305065584528,1.0567709287530083,0.18431534649355324,0.9773584823902349,0.049092277534461014,0.776397460682453,0.034712510312786174
