groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,405002.59375,393716.09375,357175.125,409499.28125,19948.668864733765,17783.674552910335,36796.04366421354,22289.602320993174
dmso,385436.46315789473,383884.4105263158,340027.4,402775.4,45495.131197022245,42713.543636773175,46617.41781698557,45731.35334859025
lib,354155.49333333335,354095.64,297853.9822222222,348577.82666666666,77568.23723624619,79193.42877799494,87197.35091881295,95922.52211988776
staur,117666.65625,110091.40625,82545.9375,90496.0625,16771.079390137125,13694.66902368753,14477.041060483854,17303.935245016077
