Plate,Well,Signal,,,,,,,,,,
2,G09,112220,,,,,,,,,,
2,G10,134286,,,,,,,,,,
2,G11,139221,,,,,,,,,,
2,G12,143412,,,,,,,,,,
2,H01,31166,,,,,,,,,,
2,H02,125104,,,,,,,,,,
2,H03,116724,,,,,,,,,,
2,H04,107201,,,,,,,,,,
2,H05,120191,,,,,,,,,,
2,H06,89714,,,,,,,,,,
2,H07,124500,,,,,,,,,,
2,H08,119660,,,,,,,,,,
2,H09,126784,,,,,,,,,,
2,H10,69490,,,,,,,,,,
2,H11,118114,,,,,,,,,,
2,H12,139036,,,,,,,,,,
3,A01,117725,,,,,,,,,,
3,A02,87502,,,,,,,,,,
3,A03,168674,,,,,,,,,,
3,A04,126024,,,,,,,,,,
3,A05,122745,,,,,,,,,,
3,A06,114332,,,,,,,,,,
3,A07,129548,,,,,,,,,,
3,A08,120961,,,,,,,,,,
3,A09,113984,,,,,,,,,,
3,A10,145913,,,,,,,,,,
3,A11,125071,,,,,,,,,,
3,A12,31551,,,,,,,,,,
3,B01,102670,,,,,,,,,,
3,B02,86276,,,,,,,,,,
3,B03,71538,,,,,,,,,,
3,B04,86714,,,,,,,,,,
3,B05,93592,,,,,,,,,,
3,B06,78252,,,,,,,,,,
3,B07,58317,,,,,,,,,,
3,B08,85329,,,,,,,,,,
3,B09,70350,,,,,,,,,,
3,B10,69320,,,,,,,,,,
3,B11,82946,,,,,,,,,,
3,B12,31535,,,,,,,,,,
3,C01,117126,,,,,,,,,,
3,C02,89915,,,,,,,,,,
3,C03,209814,,,,,,,,,,
3,C04,74797,,,,,,,,,,
3,C05,92507,,,,,,,,,,
3,C06,95982,,,,,,,,,,
3,C07,111115,,,,,,,,,,
3,C08,157447,,,,,,,,,,
3,C09,151590,,,,,,,,,,
3,C10,150131,,,,,,,,,,
3,C11,123543,,,,,,,,,,
3,C12,31701,,,,,,,,,,
3,D01,109819,,,,,,,,,,
3,D02,92720,,,,,,,,,,
3,D03,184645,,,,,,,,,,
3,D04,71192,,,,,,,,,,
3,D05,113716,,,,,,,,,,
3,D06,98933,,,,,,,,,,
3,D07,151746,,,,,,,,,,
3,D08,142558,,,,,,,,,,
3,D09,130491,,,,,,,,,,
3,D10,165191,,,,,,,,,,
3,D11,115603,,,,,,,,,,
3,D12,32357,,,,,,,,,,
3,E01,35277,,,,,,,,,,
3,E02,83612,,,,,,,,,,
3,E03,122105,,,,,,,,,,
3,E04,95703,,,,,,,,,,
3,E05,118629,,,,,,,,,,
3,E06,30268,,,,,,,,,,
3,E07,140324,,,,,,,,,,
3,E08,159556,,,,,,,,,,
3,E09,109766,,,,,,,,,,
3,E10,57449,,,,,,,,,,
3,E11,129873,,,,,,,,,,
3,E12,122568,,,,,,,,,,
3,F01,31538,,,,,,,,,,
3,F02,74153,,,,,,,,,,
3,F03,152985,,,,,,,,,,
3,F04,111487,,,,,,,,,,
3,F05,96654,,,,,,,,,,
3,F06,97214,,,,,,,,,,
3,F07,93907,,,,,,,,,,
3,F08,140782,,,,,,,,,,
3,F09,135782,,,,,,,,,,
3,F10,105243,,,,,,,,,,
3,F11,94183,,,,,,,,,,
3,F12,120510,,,,,,,,,,
3,G01,31055,,,,,,,,,,
3,G02,80584,,,,,,,,,,
3,G03,137027,,,,,,,,,,
3,G04,87692,,,,,,,,,,
3,G05,99593,,,,,,,,,,
3,G06,49567,,,,,,,,,,
3,G07,137278,,,,,,,,,,
3,G08,149675,,,,,,,,,,
3,G09,111966,,,,,,,,,,
3,G10,124525,,,,,,,,,,
3,G11,114072,,,,,,,,,,
3,G12,123254,,,,,,,,,,
3,H01,30155,,,,,,,,,,
3,H02,77961,,,,,,,,,,
3,H03,125596,,,,,,,,,,
3,H04,91551,,,,,,,,,,
3,H05,86804,,,,,,,,,,
3,H06,70641,,,,,,,,,,
3,H07,115680,,,,,,,,,,
3,H08,113969,,,,,,,,,,
3,H09,127475,,,,,,,,,,
3,H10,57403,,,,,,,,,,
3,H11,103943,,,,,,,,,,
3,H12,120266,,,,,,,,,,
4,A01,154760,,,,,,,,,,
4,A02,157487,,,,,,,,,,
4,A03,149086,,,,,,,,,,
4,A04,163085,,,,,,,,,,
4,A05,151958,,,,,,,,,,
4,A06,150417,,,,,,,,,,
4,A07,149811,,,,,,,,,,
4,A08,160512,,,,,,,,,,
4,A09,157134,,,,,,,,,,
4,A10,153235,,,,,,,,,,
4,A11,150783,,,,,,,,,,
4,A12,33617,,,,,,,,,,
4,B01,134954,,,,,,,,,,
4,B02,142209,,,,,,,,,,
4,B03,76724,,,,,,,,,,
4,B04,128746,,,,,,,,,,
4,B05,131646,,,,,,,,,,
4,B06,130669,,,,,,,,,,
4,B07,140361,,,,,,,,,,
4,B08,139109,,,,,,,,,,
4,B09,134521,,,,,,,,,,
4,B10,69020,,,,,,,,,,
4,B11,83121,,,,,,,,,,
4,B12,32648,,,,,,,,,,
4,C01,149684,,,,,,,,,,
4,C02,150663,,,,,,,,,,
4,C03,149551,,,,,,,,,,
4,C04,101568,,,,,,,,,,
4,C05,106915,,,,,,,,,,
4,C06,130397,,,,,,,,,,
4,C07,154965,,,,,,,,,,
4,C08,162447,,,,,,,,,,
4,C09,160712,,,,,,,,,,
4,C10,154913,,,,,,,,,,
4,C11,132913,,,,,,,,,,
4,C12,32713,,,,,,,,,,
4,D01,149643,,,,,,,,,,
4,D02,138252,,,,,,,,,,
4,D03,151167,,,,,,,,,,
4,D04,91026,,,,,,,,,,
4,D05,152451,,,,,,,,,,
4,D06,145264,,,,,,,,,,
4,D07,166365,,,,,,,,,,
4,D08,159063,,,,,,,,,,
4,D09,141163,,,,,,,,,,
4,D10,166819,,,,,,,,,,
4,D11,139723,,,,,,,,,,
4,D12,34657,,,,,,,,,,
4,E01,39174,,,,,,,,,,
4,E02,146016,,,,,,,,,,
4,E03,152931,,,,,,,,,,
