Plate,Well,Signal,,,,,,,,,,
2,G09,85161,,,,,,,,,,
2,G10,102267,,,,,,,,,,
2,G11,106882,,,,,,,,,,
2,G12,113080,,,,,,,,,,
2,H01,29305,,,,,,,,,,
2,H02,92344,,,,,,,,,,
2,H03,88254,,,,,,,,,,
2,H04,80415,,,,,,,,,,
2,H05,88249,,,,,,,,,,
2,H06,69570,,,,,,,,,,
2,H07,94470,,,,,,,,,,
2,H08,92155,,,,,,,,,,
2,H09,97379,,,,,,,,,,
2,H10,55662,,,,,,,,,,
2,H11,90757,,,,,,,,,,
2,H12,109497,,,,,,,,,,
3,A01,110048,,,,,,,,,,
3,A02,82869,,,,,,,,,,
3,A03,149038,,,,,,,,,,
3,A04,113434,,,,,,,,,,
3,A05,109520,,,,,,,,,,
3,A06,99612,,,,,,,,,,
3,A07,109810,,,,,,,,,,
3,A08,102919,,,,,,,,,,
3,A09,86194,,,,,,,,,,
3,A10,111675,,,,,,,,,,
3,A11,93532,,,,,,,,,,
3,A12,29699,,,,,,,,,,
3,B01,81610,,,,,,,,,,
3,B02,63026,,,,,,,,,,
3,B03,54569,,,,,,,,,,
3,B04,65752,,,,,,,,,,
3,B05,70214,,,,,,,,,,
3,B06,60346,,,,,,,,,,
3,B07,47011,,,,,,,,,,
3,B08,64180,,,,,,,,,,
3,B09,52318,,,,,,,,,,
3,B10,53070,,,,,,,,,,
3,B11,63918,,,,,,,,,,
3,B12,29403,,,,,,,,,,
3,C01,90918,,,,,,,,,,
3,C02,65267,,,,,,,,,,
3,C03,149872,,,,,,,,,,
3,C04,58934,,,,,,,,,,
3,C05,69666,,,,,,,,,,
3,C06,72993,,,,,,,,,,
3,C07,84021,,,,,,,,,,
3,C08,111248,,,,,,,,,,
3,C09,101919,,,,,,,,,,
3,C10,106421,,,,,,,,,,
3,C11,93063,,,,,,,,,,
3,C12,29447,,,,,,,,,,
3,D01,85073,,,,,,,,,,
3,D02,68903,,,,,,,,,,
3,D03,130532,,,,,,,,,,
3,D04,54617,,,,,,,,,,
3,D05,84858,,,,,,,,,,
3,D06,75532,,,,,,,,,,
3,D07,100793,,,,,,,,,,
3,D08,101160,,,,,,,,,,
3,D09,100212,,,,,,,,,,
3,D10,125541,,,,,,,,,,
3,D11,85831,,,,,,,,,,
3,D12,29630,,,,,,,,,,
3,E01,31948,,,,,,,,,,
3,E02,67148,,,,,,,,,,
3,E03,93964,,,,,,,,,,
3,E04,74668,,,,,,,,,,
3,E05,87828,,,,,,,,,,
3,E06,30583,,,,,,,,,,
3,E07,102853,,,,,,,,,,
3,E08,118390,,,,,,,,,,
3,E09,83732,,,,,,,,,,
3,E10,48321,,,,,,,,,,
3,E11,98502,,,,,,,,,,
3,E12,94578,,,,,,,,,,
3,F01,28857,,,,,,,,,,
3,F02,59086,,,,,,,,,,
3,F03,109937,,,,,,,,,,
3,F04,81747,,,,,,,,,,
3,F05,69210,,,,,,,,,,
3,F06,71941,,,,,,,,,,
3,F07,71804,,,,,,,,,,
3,F08,104248,,,,,,,,,,
3,F09,98334,,,,,,,,,,
3,F10,85957,,,,,,,,,,
3,F11,72309,,,,,,,,,,
3,F12,94547,,,,,,,,,,
3,G01,28791,,,,,,,,,,
3,G02,61505,,,,,,,,,,
3,G03,104824,,,,,,,,,,
3,G04,67404,,,,,,,,,,
3,G05,76475,,,,,,,,,,
3,G06,41596,,,,,,,,,,
3,G07,104423,,,,,,,,,,
3,G08,117532,,,,,,,,,,
3,G09,87340,,,,,,,,,,
3,G10,99238,,,,,,,,,,
3,G11,93912,,,,,,,,,,
3,G12,97997,,,,,,,,,,
3,H01,28302,,,,,,,,,,
3,H02,62592,,,,,,,,,,
3,H03,95413,,,,,,,,,,
3,H04,71810,,,,,,,,,,
3,H05,68845,,,,,,,,,,
3,H06,57213,,,,,,,,,,
3,H07,87809,,,,,,,,,,
3,H08,87472,,,,,,,,,,
3,H09,98986,,,,,,,,,,
3,H10,49046,,,,,,,,,,
3,H11,83286,,,,,,,,,,
3,H12,94706,,,,,,,,,,
4,A01,113699,,,,,,,,,,
4,A02,112636,,,,,,,,,,
4,A03,99008,,,,,,,,,,
4,A04,116954,,,,,,,,,,
4,A05,108940,,,,,,,,,,
4,A06,111963,,,,,,,,,,
4,A07,106600,,,,,,,,,,
4,A08,115509,,,,,,,,,,
4,A09,118601,,,,,,,,,,
4,A10,116655,,,,,,,,,,
4,A11,111017,,,,,,,,,,
4,A12,31861,,,,,,,,,,
4,B01,103621,,,,,,,,,,
4,B02,109799,,,,,,,,,,
4,B03,61329,,,,,,,,,,
4,B04,99573,,,,,,,,,,
4,B05,100856,,,,,,,,,,
4,B06,100644,,,,,,,,,,
4,B07,109333,,,,,,,,,,
4,B08,104299,,,,,,,,,,
4,B09,104775,,,,,,,,,,
4,B10,57751,,,,,,,,,,
4,B11,67373,,,,,,,,,,
4,B12,30489,,,,,,,,,,
4,C01,114602,,,,,,,,,,
4,C02,122685,,,,,,,,,,
4,C03,119764,,,,,,,,,,
4,C04,77280,,,,,,,,,,
4,C05,84547,,,,,,,,,,
4,C06,105348,,,,,,,,,,
4,C07,125214,,,,,,,,,,
4,C08,126207,,,,,,,,,,
4,C09,131007,,,,,,,,,,
4,C10,119983,,,,,,,,,,
4,C11,109028,,,,,,,,,,
4,C12,31442,,,,,,,,,,
4,D01,118482,,,,,,,,,,
4,D02,111224,,,,,,,,,,
4,D03,115390,,,,,,,,,,
4,D04,67971,,,,,,,,,,
4,D05,111567,,,,,,,,,,
4,D06,108789,,,,,,,,,,
4,D07,118229,,,,,,,,,,
4,D08,118469,,,,,,,,,,
4,D09,107142,,,,,,,,,,
4,D10,123503,,,,,,,,,,
4,D11,107887,,,,,,,,,,
4,D12,31411,,,,,,,,,,
4,E01,35011,,,,,,,,,,
4,E02,107693,,,,,,,,,,
4,E03,117382,,,,,,,,,,
4,E04,103243,,,,,,,,,,
4,E05,85748,,,,,,,,,,
4,E06,117701,,,,,,,,,,
4,E07,126517,,,,,,,,,,
4,E08,113298,,,,,,,,,,
4,E09,100928,,,,,,,,,,
4,E10,49302,,,,,,,,,,
4,E11,116567,,,,,,,,,,
4,E12,115026,,,,,,,,,,
4,F01,34421,,,,,,,,,,
4,F02,111695,,,,,,,,,,
4,F03,106768,,,,,,,,,,
4,F04,118058,,,,,,,,,,
4,F05,106945,,,,,,,,,,
4,F06,112040,,,,,,,,,,
4,F07,102790,,,,,,,,,,
4,F08,103236,,,,,,,,,,
4,F09,113277,,,,,,,,,,
4,F10,107024,,,,,,,,,,
4,F11,93328,,,,,,,,,,
4,F12,114535,,,,,,,,,,
4,G01,32422,,,,,,,,,,
4,G02,111272,,,,,,,,,,
4,G03,107831,,,,,,,,,,
4,G04,108657,,,,,,,,,,
4,G05,103148,,,,,,,,,,
4,G06,72542,,,,,,,,,,
4,G07,119908,,,,,,,,,,
4,G08,118821,,,,,,,,,,
4,G09,98937,,,,,,,,,,
4,G10,112353,,,,,,,,,,
4,G11,113022,,,,,,,,,,
4,G12,120482,,,,,,,,,,
4,H01,29977,,,,,,,,,,
4,H02,110543,,,,,,,,,,
4,H03,112500,,,,,,,,,,
4,H04,101963,,,,,,,,,,
4,H05,112337,,,,,,,,,,
4,H06,94948,,,,,,,,,,
4,H07,111435,,,,,,,,,,
4,H08,111495,,,,,,,,,,
4,H09,119502,,,,,,,,,,
4,H10,64836,,,,,,,,,,
4,H11,109283,,,,,,,,,,
4,H12,118663,,,,,,,,,,
5,A01,138091,,,,,,,,,,
5,A02,118478,,,,,,,,,,
5,A03,108639,,,,,,,,,,
5,A04,117761,,,,,,,,,,
5,A05,114400,,,,,,,,,,
5,A06,111369,,,,,,,,,,
