groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,2851.53125,3006.84375,3139.15625,3021.09375,346.00400747026595,478.2195547448082,407.76955140918943,361.9499483643667
dmso,3429.0105263157893,2722.3684210526317,3636.6,2640.442105263158,573.4903492989937,356.2851192881957,482.0592221055638,258.617672126145
lib,2784.6222222222223,2238.182222222222,3004.5422222222223,2256.688888888889,695.7212883843006,489.28893162538543,698.9563069092759,420.089734367117
staur,1652.9375,1784.8125,1815.125,1695.09375,203.67287774525172,131.05931616958296,124.22475728525552,68.11440062556996
