groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,577115.8984375,572483.396484375,566605.7216796875,592022.365234375,60575.50398964228,61449.46961778164,78558.22568543682,52317.274374621644
dmso,649816.177631579,664229.90625,446159.15361842106,461168.29835526313,101996.69047342187,90891.88777466188,61991.677399264074,53417.60186600909
lib,507674.22479166667,496843.8178472222,367866.1511111111,380867.555625,142487.89970687972,127880.61421026736,76219.93136951533,65631.32249988157
staur,261046.8779296875,258835.77197265625,252192.60107421875,266328.009765625,30369.47204595888,41637.34217663336,32971.32173010251,33680.27346364699
