"","V1","V2","V3","V4"
"plate","plate1","plate2","plate3","plate4"
"Zprime_dmso","0.07118919","0.24807603","0.19740523","0.48770755"
"Zprime_bckg","0.07173077","0.14685771","0.13519864","0.36724912"
