groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4,ratio_2_1,ratio_3_1
lib,320095.6666666667,378623.6666666667,416634.6666666667,395568.6666666667,40840.05597857737,62400.85898714323,18932.48431488412,9704.959161858093,1.1828453368628338,1.301594210897367
lib,280286,433998.6666666667,348116.6666666667,332230.6666666667,19834.75149831729,6925.474520445031,4005.3205031973825,15392.967398566572,1.5484136441587046,1.2420051899369455
lib,383410.3333333333,461569.6666666667,442826,416571,39990.40917936866,10907.368167130571,14044.730221688133,10463.680662176192,1.203852965186993,1.1549662632984157
lib,238313,257301,321874.6666666667,324506.3333333333,6665.126630454968,17138.52785393191,10484.938356200924,30540.538245638916,1.0796767276648778,1.3506383062051448
lib,208430,253970,326789,268165.3333333333,18227.723582499268,39156.52705488575,12600.642880424792,31722.33492877429,1.2184906203521566,1.5678597130931249
lib,331259,454960,374943.6666666667,340207.3333333333,9779.63255955969,21332.25756923069,13027.329286286324,9420.98669637811,1.373426835195421,1.1318746559841897
lib,290094,400006.3333333333,326729.6666666667,334889.6666666667,39581.79916325179,19693.31755528594,33947.902208138476,5629.152363663053,1.3788852349008711,1.1262889500184998
lib,434042,471676.3333333333,476420,406806,5344.157183317123,6837.246619314922,13923.520998655476,22744.56954967493,1.0867066627960735,1.0976357126729672
lib,385384.6666666667,459820,410018.6666666667,381090,6723.154641485895,20030.77961538192,19590.987732458343,14191.549844890093,1.193145549814298,1.063920550376507
lib,284770,400750.6666666667,423650.3333333333,370659,31760.73750718015,20789.170073221616,13768.722247664571,4316.685649893909,1.4072783884070186,1.487692992005244
lib,364184,429402.6666666667,445427.3333333333,368218.3333333333,5684.840103292264,21109.345189591582,5912.25847991555,12387.876183322682,1.1790816363889316,1.2230832033624028
lib,394108.90625,454198.3125,464946.25,405384.25,38968.74469437582,33954.04381298393,19574.67946097713,37499.24691802963,1.1524690391337737,1.1797405301596124
lib,266694.3333333333,424137,374695.3333333333,325353.3333333333,35850.09247314898,11556.624896569067,22526.382584279556,6759.447413312226,1.590348751317051,1.404961735219971
lib,308219,413329.6666666667,410457.6666666667,413947.3333333333,39886.31909564983,31403.97497663844,13029.914862858212,3921.913351074107,1.3410259155557143,1.3317078657275077
lib,132863.66666666666,117799.33333333333,107734,77213.66666666667,6778.441512127499,4343.898517844695,7248.581309470151,4394.576923133026,0.8866181123005789,0.8108612587840669
lib,286074,469083.3333333333,235386.66666666666,200160.66666666666,11721.818800851683,13316.88433280598,8894.440417099511,4630.290091704118,1.6397272500588425,0.8228174062189036
lib,132494.66666666666,176694,137886.66666666666,116676.33333333333,7207.809676547608,11058.637167390925,5815.522361175592,4780.876941873043,1.3335933018687545,1.0406959776997313
lib,374938,439922,364941.3333333333,342213,52759.207281762676,37693.625296593586,24462.015643305713,11302.003317996328,1.1733193221279252,0.9733378140741491
lib,307435.6666666667,446573,458436,406497.3333333333,29411.64739237388,7361.311092461722,11422.013001218305,5701.698021934635,1.4525738176117062,1.49116075233084
lib,177749.33333333334,184149.33333333334,227043,170077,19551.148363544617,8561.246073635153,4084.4778124014824,8550.481623861899,1.0360057609217475,1.277321246399424
lib,428072.3333333333,469495.6666666667,409280.6666666667,378824.6666666667,16677.588624658343,19647.397418827088,18180.965165065725,17588.08284985414,1.0967671351492778,0.9561016557170635
lib,146584.66666666666,138373.33333333334,178465.66666666666,134864.66666666666,13652.663928088663,4423.663677692206,26763.36044545478,9868.008427911547,0.9439823173865389,1.2174920523747368
lib,388078.95789473684,469763.92631578946,451925.06315789477,406072.2631578947,43531.0477771059,56551.37324841676,33452.849959311745,38021.225961859476,1.2104854353974248,1.1645183382513504
lib,287808.3333333333,422574,401549.6666666667,312223.3333333333,2093.6227772293014,19675.239693584423,10129.941033062993,15921.943861643695,1.4682479659495615,1.3951981932420305
