groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,536132.5537109375,573989.1220703125,600784.5048828125,590896.7861328125,67809.66831144466,86491.87033315087,69182.04905958979,73567.62266084392
dmso,652748.3677631579,534135.1684210526,699200.8322368421,534856.8233552632,103972.93085655656,64281.25609539814,87619.22539654971,48492.57481047203
lib,507576.2273611111,439187.2113888889,568081.5111805556,458637.94902777777,144469.4444334753,97476.0418005792,143887.05494959946,92461.90954470108
staur,211592.14990234375,211754.994140625,220167.8154296875,204736.4140625,32610.65351645751,16520.539693710038,40537.226910420126,7880.153914243432
