drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,433309.875,444366.2916666667,544016.1145833334,452998.7083333333,26328.460099814783,29902.630981170012,41793.34542716658,30986.537572418252,635251.46875,560566.65625,652626.515625,509829,23369.9348096333,16389.733785947188,52883.21657416598,26881.43400138287,0.6821076318841648,0.7927091037474934,0.8335795459710156,0.8885306805484453,0.04845041077092027,0.05816110156381254,0.09307753438523372,0.07673871252000602,4.0053121807487373e-4,0.009799084591744759,0.029403019336754516,0.06343152839599171,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.11428571428571428
Tazemetostat,471045.8958333333,429547.8645833333,592748.2083333334,515426.2916666667,29959.356751557974,55603.55457051557,37627.518546953135,36668.884599584824,674215.5625,553760.28125,662812.71875,498113.78125,47738.193011466195,12102.795472615124,10445.160400818559,4487.697380974248,0.6986577024218917,0.775692802693825,0.8942921455267161,1.034756136184832,0.06649595536624672,0.10183200617746803,0.05849259945602904,0.07420342312513872,0.0562516063887594,0.052949573421471545,0.072759296263522,0.5004447551842061,0.2,0.2,0.2,0.7999999999999998
Pemetrexed,579709.5833333334,477258.1979166667,507302.8229166667,442104.8020833333,30427.45371784011,20125.345953459266,33022.02045035059,22700.363554837837,713297.875,546121.90625,721533.25,516362.40625,7532.543374937346,1300.5019531235334,72598.2112826846,21319.755588686472,0.8127173844914838,0.873904145676571,0.7030900141007593,0.8561909169454245,0.04351223254947468,0.03691009399693929,0.08425599170263416,0.05641220901343197,0.011679945533139334,0.026685889509562164,0.11555860089505317,0.04910697158061214,0.2,0.2,0.2,0.2
Raloxifene (hydrochloride),700958.4166666666,514260.5104166667,677602.9166666666,487402.8333333333,26274.996090206456,41565.42727245953,39344.47067252655,75481.1129843796,735532.84375,552817.34375,753612.15625,539744.65625,23912.450990254598,8168.276565397876,27231.78699783955,11747.739480111828,0.952994040474031,0.9302539369119905,0.8991401094675039,0.9030248427463395,0.04728621519792606,0.07643440806459888,0.06149218201980575,0.14122039565212574,0.2443477486962352,0.24632845377979357,0.08645802674069246,0.35247015126995257,0.4,0.8,0.2,0.8
Mifepristone,490302.6666666667,453036.65625,590854.5416666666,465986.7395833333,68029.85463722702,58897.59601003034,47411.853921923386,20145.24080986462,735343.0625,560070.375,743758,566875.3125,24180.842207888716,2089.0585966680064,13295.90558334595,26620.802544720547,0.666767243305116,0.8088923758018802,0.7944177295123772,0.8220268713560062,0.09507714542004406,0.10520433665494179,0.0653091110866456,0.052469841422387656,0.01488446928611149,0.0875613498985709,0.021999736544724483,0.055584911580953036,0.2,0.2,0.2,0.2
Fulvestrant,481200.2604166667,444329.3125,587912.8541666666,423762.7395833333,37597.178891142765,14768.45222956136,65992.13643171142,30472.42324539705,716423,550557.8125,762637.1875,563410.09375,2576.166780557889,15541.853497089722,13403.297425738656,31521.36189756009,0.6716705918384344,0.807052960491774,0.7708945535345622,0.7521390622642413,0.052534571691543845,0.03519373201223594,0.08758572610187773,0.06852744495200282,0.008064575430855243,0.013170063856550649,0.03804809580857582,0.03186029112796389,0.2,0.2,0.2,0.2
Enzalutamide,695305.6458333334,532625.9166666666,705896.9166666666,491623.1770833333,61612.187810007825,25672.456800797274,37556.55465409037,14562.564004732378,693385.25,549651.375,727774.75,546650.3125,30004.13171600288,14259.957291146158,62706.229355623036,7819.4519514037875,1.002769594296004,0.9690249872779207,0.9699387298977694,0.8993375945126407,0.09888593618320844,0.05304287445748712,0.09822030524806322,0.02958315074266651,0.9659937708711108,0.41239803049273865,0.7133244513534339,0.012160951562166414,0.8,0.8,0.8,0.2
Rucaparib,652074.5208333334,520061.1979166667,477106.3958333333,427945.15625,6016.298252693643,13105.688012000883,28134.808404837026,15002.84340641279,696961.40625,550880.40625,697107.34375,546546.6875,35061.58038591819,12521.844628815801,19335.967514067615,7965.999831804699,0.9355963113392742,0.9440546296733833,0.6844087931519991,0.7829983531827737,0.047851472472834694,0.03203858424528609,0.04460112848997727,0.029728054987539256,0.3166868172712808,0.0992465368375168,0.0021769845929883454,0.0014583623743687772,0.2,0.2,0.2,0.2
5-Fluorouracil,448609.03125,457803.8958333333,487657.7708333333,366524.7291666667,39051.772863472834,35511.48363295741,11966.247296119533,12579.328238113534,744331.65625,545641.6875,717830.09375,524329.234375,31930.069617085916,5113.1775231075735,9970.426585599442,23454.223698958802,0.6027004595103838,0.8390192800899827,0.6793498560164445,0.6990354630970822,0.05849004800847317,0.06555525584546858,0.01915533705754413,0.03941245613747913,0.004226718215951159,0.046704250180405686,4.0228202524458654e-4,0.03483008476806477,0.2,0.2,0.2,0.2
Gemcitabine,236350.57291666666,246228.5625,284454.0520833333,258581.15104166666,55833.86531567512,6574.4641499987765,12731.416298402002,8006.718783576741,632449.90625,551404.875,667793.5625,519099.2708333333,94700.83840678523,47142.01727320862,65259.706691682084,33312.97381716076,0.3737063925237425,0.4465476706204311,0.4259610575136883,0.49813429833286943,0.10452239243324662,0.039995851343403166,0.04578492004259842,0.03549411519868294,1.4812315277886907e-4,1.121911962322248e-5,1.2987174608771714e-5,1.7486053909707524e-6,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
