"","V1","V2","V3","V4"
"plate","plate1","plate2","plate3","plate4"
"Zprime_dmso","0.3023910","0.3819249","0.2881686","0.3944336"
"Zprime_bckg","0.6166186","0.6670423","0.4399021","0.6276507"
