"","V1","V2","V3","V4"
"plate","plate1","plate2","plate3","plate4"
"Zprime_dmso"," 0.2475421"," 0.2422541","-0.1312104"," 0.1704667"
"Zprime_bckg","0.6666698","0.6164255","0.2285240","0.3297683"
