Plate,Well,Signal,,,,,,,,,,
2,G09,141472,,,,,,,,,,
2,G10,166105,,,,,,,,,,
2,G11,162214,,,,,,,,,,
2,G12,166473,,,,,,,,,,
2,H01,31965,,,,,,,,,,
2,H02,152131,,,,,,,,,,
2,H03,153160,,,,,,,,,,
2,H04,141243,,,,,,,,,,
2,H05,151126,,,,,,,,,,
2,H06,132027,,,,,,,,,,
2,H07,150712,,,,,,,,,,
2,H08,162318,,,,,,,,,,
2,H09,182718,,,,,,,,,,
2,H10,80992,,,,,,,,,,
2,H11,151360,,,,,,,,,,
2,H12,158292,,,,,,,,,,
3,A01,166631,,,,,,,,,,
3,A02,151890,,,,,,,,,,
3,A03,156056,,,,,,,,,,
3,A04,161637,,,,,,,,,,
3,A05,159259,,,,,,,,,,
3,A06,153677,,,,,,,,,,
3,A07,170277,,,,,,,,,,
3,A08,164622,,,,,,,,,,
3,A09,169543,,,,,,,,,,
3,A10,108646,,,,,,,,,,
3,A11,154887,,,,,,,,,,
3,A12,31546,,,,,,,,,,
3,B01,150398,,,,,,,,,,
3,B02,151576,,,,,,,,,,
3,B03,65321,,,,,,,,,,
3,B04,145813,,,,,,,,,,
3,B05,150039,,,,,,,,,,
3,B06,137616,,,,,,,,,,
3,B07,159397,,,,,,,,,,
3,B08,165262,,,,,,,,,,
3,B09,156092,,,,,,,,,,
3,B10,59600,,,,,,,,,,
3,B11,59721,,,,,,,,,,
3,B12,31291,,,,,,,,,,
3,C01,155348,,,,,,,,,,
3,C02,173287,,,,,,,,,,
3,C03,169823,,,,,,,,,,
3,C04,93667,,,,,,,,,,
3,C05,109914,,,,,,,,,,
3,C06,150736,,,,,,,,,,
3,C07,177041,,,,,,,,,,
3,C08,181928,,,,,,,,,,
3,C09,184457,,,,,,,,,,
3,C10,128813,,,,,,,,,,
3,C11,167087,,,,,,,,,,
3,C12,32247,,,,,,,,,,
3,D01,149815,,,,,,,,,,
3,D02,162965,,,,,,,,,,
3,D03,177532,,,,,,,,,,
3,D04,86620,,,,,,,,,,
3,D05,162773,,,,,,,,,,
3,D06,165229,,,,,,,,,,
3,D07,181466,,,,,,,,,,
3,D08,181428,,,,,,,,,,
3,D09,161953,,,,,,,,,,
3,D10,141137,,,,,,,,,,
3,D11,164154,,,,,,,,,,
3,D12,32993,,,,,,,,,,
3,E01,32641,,,,,,,,,,
3,E02,165463,,,,,,,,,,
3,E03,162395,,,,,,,,,,
3,E04,163225,,,,,,,,,,
3,E05,137143,,,,,,,,,,
3,E06,172457,,,,,,,,,,
3,E07,182848,,,,,,,,,,
3,E08,187829,,,,,,,,,,
