,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
8,D01,87810,,,,,,,,,,
8,D02,109554,,,,,,,,,,
8,D03,99149,,,,,,,,,,
8,D04,53351,,,,,,,,,,
8,D05,97537,,,,,,,,,,
8,D06,85138,,,,,,,,,,
8,D07,104170,,,,,,,,,,
8,D08,90831,,,,,,,,,,
8,D09,86941,,,,,,,,,,
8,D10,120400,,,,,,,,,,
8,D11,97800,,,,,,,,,,
8,D12,31319,,,,,,,,,,
8,E01,31615,,,,,,,,,,
8,E02,99468,,,,,,,,,,
8,E03,67043,,,,,,,,,,
8,E04,73140,,,,,,,,,,
8,E05,79525,,,,,,,,,,
8,E06,30445,,,,,,,,,,
8,E07,96607,,,,,,,,,,
8,E08,99290,,,,,,,,,,
8,E09,70611,,,,,,,,,,
8,E10,44848,,,,,,,,,,
8,E11,111408,,,,,,,,,,
8,E12,101103,,,,,,,,,,
8,F01,30746,,,,,,,,,,
8,F02,82302,,,,,,,,,,
8,F03,78396,,,,,,,,,,
8,F04,91432,,,,,,,,,,
8,F05,77677,,,,,,,,,,
8,F06,97817,,,,,,,,,,
8,F07,61936,,,,,,,,,,
8,F08,93520,,,,,,,,,,
8,F09,103655,,,,,,,,,,
8,F10,85827,,,,,,,,,,
8,F11,96865,,,,,,,,,,
8,F12,103919,,,,,,,,,,
8,G01,29069,,,,,,,,,,
8,G02,94475,,,,,,,,,,
8,G03,79183,,,,,,,,,,
8,G04,74035,,,,,,,,,,
8,G05,94940,,,,,,,,,,
8,G06,44137,,,,,,,,,,
8,G07,106938,,,,,,,,,,
8,G08,113937,,,,,,,,,,
8,G09,82855,,,,,,,,,,
8,G10,95228,,,,,,,,,,
8,G11,98266,,,,,,,,,,
8,G12,105910,,,,,,,,,,
8,H01,29655,,,,,,,,,,
8,H02,112824,,,,,,,,,,
8,H03,131648,,,,,,,,,,
8,H04,58540,,,,,,,,,,
8,H05,80821,,,,,,,,,,
8,H06,59366,,,,,,,,,,
8,H07,80066,,,,,,,,,,
8,H08,84318,,,,,,,,,,
8,H09,107113,,,,,,,,,,
8,H10,50618,,,,,,,,,,
8,H11,81407,,,,,,,,,,
8,H12,108579,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
9,A01,111996,,,,,,,,,,
9,A02,103948,,,,,,,,,,
9,A03,96755,,,,,,,,,,
9,A04,114140,,,,,,,,,,
9,A05,115629,,,,,,,,,,
9,A06,128167,,,,,,,,,,
9,A07,108051,,,,,,,,,,
9,A08,120391,,,,,,,,,,
9,A09,111546,,,,,,,,,,
9,A10,97484,,,,,,,,,,
9,A11,87665,,,,,,,,,,
9,A12,28720,,,,,,,,,,
9,B01,91427,,,,,,,,,,
9,B02,117751,,,,,,,,,,
9,B03,56078,,,,,,,,,,
9,B04,94020,,,,,,,,,,
9,B05,85102,,,,,,,,,,
9,B06,87703,,,,,,,,,,
9,B07,55921,,,,,,,,,,
9,B08,56325,,,,,,,,,,
9,B09,107478,,,,,,,,,,
9,B10,47664,,,,,,,,,,
9,B11,48031,,,,,,,,,,
9,B12,29382,,,,,,,,,,
9,C01,87002,,,,,,,,,,
9,C02,114489,,,,,,,,,,
9,C03,130060,,,,,,,,,,
9,C04,69174,,,,,,,,,,
9,C05,76704,,,,,,,,,,
9,C06,101079,,,,,,,,,,
9,C07,119348,,,,,,,,,,
9,C08,119790,,,,,,,,,,
9,C09,106953,,,,,,,,,,
9,C10,107527,,,,,,,,,,
9,C11,106558,,,,,,,,,,
9,C12,28094,,,,,,,,,,
9,D01,89186,,,,,,,,,,
9,D02,109611,,,,,,,,,,
9,D03,124707,,,,,,,,,,
9,D04,57071,,,,,,,,,,
9,D05,116750,,,,,,,,,,
9,D06,100470,,,,,,,,,,
9,D07,120622,,,,,,,,,,
9,D08,96705,,,,,,,,,,
9,D09,95462,,,,,,,,,,
9,D10,137261,,,,,,,,,,
9,D11,101902,,,,,,,,,,
9,D12,31201,,,,,,,,,,
9,E01,30646,,,,,,,,,,
9,E02,112883,,,,,,,,,,
9,E03,79797,,,,,,,,,,
9,E04,88308,,,,,,,,,,
9,E05,93667,,,,,,,,,,
9,E06,29611,,,,,,,,,,
9,E07,98280,,,,,,,,,,
9,E08,109407,,,,,,,,,,
9,E09,76330,,,,,,,,,,
9,E10,46272,,,,,,,,,,
9,E11,119692,,,,,,,,,,
9,E12,114650,,,,,,,,,,
9,F01,30004,,,,,,,,,,
9,F02,85390,,,,,,,,,,
9,F03,95802,,,,,,,,,,
9,F04,108263,,,,,,,,,,
9,F05,96373,,,,,,,,,,
9,F06,109729,,,,,,,,,,
9,F07,65884,,,,,,,,,,
9,F08,104576,,,,,,,,,,
9,F09,110061,,,,,,,,,,
9,F10,96978,,,,,,,,,,
9,F11,105757,,,,,,,,,,
9,F12,115963,,,,,,,,,,
9,G01,29025,,,,,,,,,,
9,G02,110092,,,,,,,,,,
9,G03,76787,,,,,,,,,,
9,G04,73830,,,,,,,,,,
9,G05,103058,,,,,,,,,,
9,G06,45705,,,,,,,,,,
9,G07,104248,,,,,,,,,,
9,G08,118454,,,,,,,,,,
9,G09,86322,,,,,,,,,,
9,G10,103894,,,,,,,,,,
9,G11,107138,,,,,,,,,,
9,G12,114730,,,,,,,,,,
9,H01,29745,,,,,,,,,,
9,H02,106614,,,,,,,,,,
9,H03,77277,,,,,,,,,,
9,H04,69466,,,,,,,,,,
9,H05,96622,,,,,,,,,,
9,H06,64381,,,,,,,,,,
9,H07,83453,,,,,,,,,,
9,H08,87528,,,,,,,,,,
9,H09,107597,,,,,,,,,,
9,H10,50929,,,,,,,,,,
9,H11,85910,,,,,,,,,,
9,H12,109764,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
10,A01,97305,,,,,,,,,,
10,A02,116348,,,,,,,,,,
10,A03,99486,,,,,,,,,,
10,A04,104433,,,,,,,,,,
10,A05,130062,,,,,,,,,,
10,A06,116556,,,,,,,,,,
10,A07,114666,,,,,,,,,,
10,A08,115713,,,,,,,,,,
10,A09,117580,,,,,,,,,,
10,A10,84823,,,,,,,,,,
10,A11,116578,,,,,,,,,,
10,A12,29166,,,,,,,,,,
10,B01,113027,,,,,,,,,,
10,B02,131607,,,,,,,,,,
10,B03,60073,,,,,,,,,,
10,B04,110676,,,,,,,,,,
10,B05,121933,,,,,,,,,,
10,B06,107813,,,,,,,,,,
10,B07,134498,,,,,,,,,,
10,B08,127650,,,,,,,,,,
10,B09,119626,,,,,,,,,,
10,B10,58437,,,,,,,,,,
10,B11,54053,,,,,,,,,,
10,B12,30700,,,,,,,,,,
10,C01,116332,,,,,,,,,,
10,C02,141362,,,,,,,,,,
10,C03,134068,,,,,,,,,,
10,C04,90143,,,,,,,,,,
10,C05,87740,,,,,,,,,,
10,C06,124902,,,,,,,,,,
10,C07,133757,,,,,,,,,,
10,C08,120480,,,,,,,,,,
10,C09,129563,,,,,,,,,,
10,C10,99872,,,,,,,,,,
10,C11,122816,,,,,,,,,,
10,C12,29196,,,,,,,,,,
10,D01,108453,,,,,,,,,,
10,D02,127810,,,,,,,,,,
10,D03,115223,,,,,,,,,,
10,D04,67877,,,,,,,,,,
10,D05,117520,,,,,,,,,,
10,D06,118434,,,,,,,,,,
10,D07,133756,,,,,,,,,,
10,D08,119314,,,,,,,,,,
10,D09,109467,,,,,,,,,,
10,D10,101972,,,,,,,,,,
10,D11,115922,,,,,,,,,,
10,D12,30319,,,,,,,,,,
10,E01,30982,,,,,,,,,,
10,E02,114979,,,,,,,,,,
10,E03,113869,,,,,,,,,,
10,E04,116067,,,,,,,,,,
10,E05,97192,,,,,,,,,,
10,E06,124180,,,,,,,,,,
10,E07,127321,,,,,,,,,,
10,E08,124146,,,,,,,,,,
10,E09,100110,,,,,,,,,,
10,E10,59132,,,,,,,,,,
10,E11,100066,,,,,,,,,,
10,E12,98988,,,,,,,,,,
10,F01,30436,,,,,,,,,,
10,F02,115342,,,,,,,,,,
10,F03,101902,,,,,,,,,,
10,F04,107177,,,,,,,,,,
10,F05,110895,,,,,,,,,,
10,F06,116860,,,,,,,,,,
10,F07,117492,,,,,,,,,,
10,F08,120419,,,,,,,,,,
10,F09,124663,,,,,,,,,,
10,F10,112134,,,,,,,,,,
10,F11,118679,,,,,,,,,,
10,F12,103756,,,,,,,,,,
10,G01,29602,,,,,,,,,,
10,G02,113529,,,,,,,,,,
10,G03,105678,,,,,,,,,,
10,G04,103820,,,,,,,,,,
10,G05,110470,,,,,,,,,,
10,G06,71423,,,,,,,,,,
10,G07,124238,,,,,,,,,,
10,G08,117633,,,,,,,,,,
10,G09,112484,,,,,,,,,,
10,G10,113355,,,,,,,,,,
10,G11,111045,,,,,,,,,,
10,G12,105091,,,,,,,,,,
10,H01,29771,,,,,,,,,,
10,H02,119436,,,,,,,,,,
10,H03,114773,,,,,,,,,,
10,H04,91634,,,,,,,,,,
10,H05,95094,,,,,,,,,,
10,H06,94852,,,,,,,,,,
10,H07,105047,,,,,,,,,,
10,H08,115921,,,,,,,,,,
10,H09,128749,,,,,,,,,,
10,H10,60598,,,,,,,,,,
10,H11,110769,,,,,,,,,,
10,H12,103797,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
11,A01,101964,,,,,,,,,,
11,A02,119158,,,,,,,,,,
11,A03,101972,,,,,,,,,,
11,A04,109984,,,,,,,,,,
11,A05,112628,,,,,,,,,,
11,A06,112320,,,,,,,,,,
11,A07,108428,,,,,,,,,,
11,A08,121611,,,,,,,,,,
11,A09,122362,,,,,,,,,,
11,A10,86928,,,,,,,,,,
11,A11,110998,,,,,,,,,,
11,A12,28433,,,,,,,,,,
11,B01,102605,,,,,,,,,,
11,B02,113121,,,,,,,,,,
11,B03,59252,,,,,,,,,,
11,B04,104196,,,,,,,,,,
11,B05,114132,,,,,,,,,,
11,B06,112724,,,,,,,,,,
11,B07,128783,,,,,,,,,,
11,B08,123696,,,,,,,,,,
11,B09,112680,,,,,,,,,,
11,B10,62106,,,,,,,,,,
11,B11,51992,,,,,,,,,,
11,B12,30597,,,,,,,,,,
11,C01,104097,,,,,,,,,,
11,C02,117263,,,,,,,,,,
11,C03,130198,,,,,,,,,,
11,C04,86948,,,,,,,,,,
11,C05,92516,,,,,,,,,,
11,C06,121634,,,,,,,,,,
11,C07,136869,,,,,,,,,,
11,C08,130775,,,,,,,,,,
11,C09,128094,,,,,,,,,,
11,C10,102999,,,,,,,,,,
11,C11,116669,,,,,,,,,,
11,C12,29169,,,,,,,,,,
11,D01,107174,,,,,,,,,,
11,D02,117820,,,,,,,,,,
11,D03,115351,,,,,,,,,,
11,D04,72607,,,,,,,,,,
11,D05,120526,,,,,,,,,,
11,D06,118511,,,,,,,,,,
11,D07,123348,,,,,,,,,,
11,D08,120923,,,,,,,,,,
11,D09,113486,,,,,,,,,,
11,D10,111171,,,,,,,,,,
11,D11,122044,,,,,,,,,,
11,D12,30381,,,,,,,,,,
11,E01,30904,,,,,,,,,,
11,E02,117455,,,,,,,,,,
11,E03,120643,,,,,,,,,,
11,E04,115750,,,,,,,,,,
11,E05,107904,,,,,,,,,,
11,E06,127888,,,,,,,,,,
11,E07,124506,,,,,,,,,,
11,E08,123774,,,,,,,,,,
11,E09,103967,,,,,,,,,,
11,E10,55168,,,,,,,,,,
11,E11,108288,,,,,,,,,,
11,E12,105068,,,,,,,,,,
11,F01,30090,,,,,,,,,,
11,F02,122558,,,,,,,,,,
11,F03,104788,,,,,,,,,,
11,F04,113318,,,,,,,,,,
11,F05,119324,,,,,,,,,,
11,F06,107751,,,,,,,,,,
11,F07,111836,,,,,,,,,,
11,F08,120144,,,,,,,,,,
11,F09,119032,,,,,,,,,,
11,F10,119245,,,,,,,,,,
11,F11,116776,,,,,,,,,,
11,F12,101683,,,,,,,,,,
11,G01,29776,,,,,,,,,,
11,G02,113638,,,,,,,,,,
11,G03,115118,,,,,,,,,,
11,G04,112114,,,,,,,,,,
11,G05,103305,,,,,,,,,,
11,G06,68384,,,,,,,,,,
11,G07,119132,,,,,,,,,,
11,G08,118925,,,,,,,,,,
11,G09,107551,,,,,,,,,,
11,G10,106883,,,,,,,,,,
11,G11,112463,,,,,,,,,,
11,G12,102122,,,,,,,,,,
11,H01,29335,,,,,,,,,,
11,H02,116036,,,,,,,,,,
11,H03,113084,,,,,,,,,,
11,H04,103888,,,,,,,,,,
11,H05,106468,,,,,,,,,,
11,H06,99921,,,,,,,,,,
11,H07,108376,,,,,,,,,,
11,H08,109555,,,,,,,,,,
11,H09,124682,,,,,,,,,,
11,H10,57294,,,,,,,,,,
11,H11,107394,,,,,,,,,,
11,H12,106652,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
12,A01,94900,,,,,,,,,,
12,A02,109408,,,,,,,,,,
12,A03,102179,,,,,,,,,,
12,A04,99456,,,,,,,,,,
12,A05,108066,,,,,,,,,,
12,A06,111349,,,,,,,,,,
12,A07,112407,,,,,,,,,,
12,A08,122804,,,,,,,,,,
12,A09,121497,,,,,,,,,,
12,A10,99684,,,,,,,,,,
12,A11,117809,,,,,,,,,,
12,A12,29492,,,,,,,,,,
12,B01,107038,,,,,,,,,,
12,B02,117481,,,,,,,,,,
12,B03,63286,,,,,,,,,,
12,B04,107729,,,,,,,,,,
12,B05,113910,,,,,,,,,,
12,B06,96650,,,,,,,,,,
12,B07,122151,,,,,,,,,,
12,B08,121783,,,,,,,,,,
12,B09,106026,,,,,,,,,,
12,B10,61068,,,,,,,,,,
12,B11,52341,,,,,,,,,,
12,B12,30733,,,,,,,,,,
12,C01,112091,,,,,,,,,,
12,C02,269813,,,,,,,,,,
12,C03,126961,,,,,,,,,,
12,C04,79749,,,,,,,,,,
12,C05,84348,,,,,,,,,,
12,C06,214144,,,,,,,,,,
12,C07,116916,,,,,,,,,,
12,C08,125967,,,,,,,,,,
12,C09,123648,,,,,,,,,,
12,C10,113089,,,,,,,,,,
12,C11,115960,,,,,,,,,,
12,C12,29340,,,,,,,,,,
12,D01,109737,,,,,,,,,,
12,D02,113734,,,,,,,,,,
12,D03,113188,,,,,,,,,,
12,D04,67563,,,,,,,,,,
12,D05,107734,,,,,,,,,,
12,D06,110298,,,,,,,,,,
12,D07,115584,,,,,,,,,,
12,D08,115954,,,,,,,,,,
12,D09,113115,,,,,,,,,,
12,D10,118724,,,,,,,,,,
12,D11,119115,,,,,,,,,,
12,D12,30293,,,,,,,,,,
12,E01,31510,,,,,,,,,,
12,E02,102444,,,,,,,,,,
12,E03,106618,,,,,,,,,,
12,E04,107198,,,,,,,,,,
12,E05,229990,,,,,,,,,,
12,E06,113193,,,,,,,,,,
12,E07,113776,,,,,,,,,,
12,E08,116251,,,,,,,,,,
12,E09,96250,,,,,,,,,,
12,E10,56277,,,,,,,,,,
12,E11,108109,,,,,,,,,,
12,E12,101698,,,,,,,,,,
12,F01,30848,,,,,,,,,,
12,F02,101579,,,,,,,,,,
12,F03,94514,,,,,,,,,,
12,F04,92586,,,,,,,,,,
12,F05,94233,,,,,,,,,,
12,F06,106895,,,,,,,,,,
12,F07,100249,,,,,,,,,,
12,F08,116247,,,,,,,,,,
12,F09,115314,,,,,,,,,,
12,F10,112411,,,,,,,,,,
12,F11,113164,,,,,,,,,,
12,F12,100606,,,,,,,,,,
12,G01,30558,,,,,,,,,,
12,G02,108476,,,,,,,,,,
12,G03,100294,,,,,,,,,,
12,G04,94528,,,,,,,,,,
12,G05,100787,,,,,,,,,,
12,G06,69174,,,,,,,,,,
12,G07,112453,,,,,,,,,,
12,G08,115188,,,,,,,,,,
12,G09,102255,,,,,,,,,,
12,G10,109965,,,,,,,,,,
12,G11,113156,,,,,,,,,,
12,G12,104726,,,,,,,,,,
12,H01,30367,,,,,,,,,,
12,H02,109424,,,,,,,,,,
12,H03,111649,,,,,,,,,,
12,H04,96920,,,,,,,,,,
12,H05,96162,,,,,,,,,,
12,H06,90643,,,,,,,,,,
12,H07,100550,,,,,,,,,,
12,H08,112492,,,,,,,,,,
12,H09,125416,,,,,,,,,,
12,H10,60312,,,,,,,,,,
12,H11,109778,,,,,,,,,,
12,H12,106613,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
13,A01,110251,,,,,,,,,,
13,A02,128345,,,,,,,,,,
13,A03,108922,,,,,,,,,,
13,A04,122360,,,,,,,,,,
13,A05,113860,,,,,,,,,,
13,A06,128555,,,,,,,,,,
13,A07,120307,,,,,,,,,,
13,A08,136390,,,,,,,,,,
13,A09,132096,,,,,,,,,,
13,A10,111045,,,,,,,,,,
13,A11,96753,,,,,,,,,,
13,A12,28152,,,,,,,,,,
13,B01,110275,,,,,,,,,,
13,B02,129915,,,,,,,,,,
13,B03,65506,,,,,,,,,,
13,B04,100270,,,,,,,,,,
13,B05,100923,,,,,,,,,,
13,B06,93363,,,,,,,,,,
13,B07,81757,,,,,,,,,,
13,B08,74814,,,,,,,,,,
13,B09,127284,,,,,,,,,,
13,B10,49810,,,,,,,,,,
13,B11,50452,,,,,,,,,,
13,B12,30058,,,,,,,,,,
13,C01,113531,,,,,,,,,,
13,C02,142598,,,,,,,,,,
13,C03,143686,,,,,,,,,,
13,C04,88412,,,,,,,,,,
13,C05,89266,,,,,,,,,,
13,C06,114492,,,,,,,,,,
13,C07,141513,,,,,,,,,,
13,C08,142586,,,,,,,,,,
13,C09,136350,,,,,,,,,,
13,C10,133776,,,,,,,,,,
13,C11,121052,,,,,,,,,,
13,C12,29803,,,,,,,,,,
13,D01,113520,,,,,,,,,,
13,D02,139581,,,,,,,,,,
13,D03,136926,,,,,,,,,,
13,D04,67050,,,,,,,,,,
13,D05,120217,,,,,,,,,,
13,D06,116457,,,,,,,,,,
13,D07,140538,,,,,,,,,,
13,D08,115021,,,,,,,,,,
13,D09,126840,,,,,,,,,,
13,D10,163745,,,,,,,,,,
13,D11,116173,,,,,,,,,,
13,D12,30714,,,,,,,,,,
13,E01,31121,,,,,,,,,,
13,E02,140457,,,,,,,,,,
13,E03,95762,,,,,,,,,,
13,E04,110787,,,,,,,,,,
13,E05,111415,,,,,,,,,,
13,E06,29706,,,,,,,,,,
13,E07,129677,,,,,,,,,,
13,E08,129993,,,,,,,,,,
13,E09,92395,,,,,,,,,,
13,E10,57962,,,,,,,,,,
13,E11,132791,,,,,,,,,,
13,E12,111817,,,,,,,,,,
13,F01,31526,,,,,,,,,,
13,F02,138543,,,,,,,,,,
13,F03,114030,,,,,,,,,,
13,F04,116921,,,,,,,,,,
13,F05,106650,,,,,,,,,,
13,F06,136983,,,,,,,,,,
13,F07,90283,,,,,,,,,,
13,F08,123062,,,,,,,,,,
13,F09,127987,,,,,,,,,,
13,F10,119045,,,,,,,,,,
13,F11,124386,,,,,,,,,,
13,F12,114116,,,,,,,,,,
13,G01,29464,,,,,,,,,,
13,G02,125316,,,,,,,,,,
13,G03,99006,,,,,,,,,,
13,G04,101223,,,,,,,,,,
13,G05,123114,,,,,,,,,,
13,G06,55720,,,,,,,,,,
13,G07,131093,,,,,,,,,,
13,G08,136239,,,,,,,,,,
13,G09,114179,,,,,,,,,,
13,G10,121768,,,,,,,,,,
13,G11,124690,,,,,,,,,,
13,G12,114803,,,,,,,,,,
13,H01,29817,,,,,,,,,,
13,H02,124863,,,,,,,,,,
13,H03,99068,,,,,,,,,,
13,H04,94225,,,,,,,,,,
13,H05,95818,,,,,,,,,,
13,H06,92905,,,,,,,,,,
13,H07,115761,,,,,,,,,,
13,H08,122573,,,,,,,,,,
13,H09,146885,,,,,,,,,,
13,H10,59654,,,,,,,,,,
13,H11,115778,,,,,,,,,,
13,H12,110893,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
14,A01,106555,,,,,,,,,,
14,A02,121548,,,,,,,,,,
14,A03,104227,,,,,,,,,,
14,A04,120785,,,,,,,,,,
14,A05,118666,,,,,,,,,,
14,A06,124143,,,,,,,,,,
14,A07,114028,,,,,,,,,,
14,A08,124546,,,,,,,,,,
14,A09,121195,,,,,,,,,,
14,A10,110447,,,,,,,,,,
14,A11,104821,,,,,,,,,,
14,A12,28461,,,,,,,,,,
14,B01,107615,,,,,,,,,,
14,B02,128260,,,,,,,,,,
14,B03,64021,,,,,,,,,,
14,B04,99298,,,,,,,,,,
14,B05,97227,,,,,,,,,,
14,B06,98029,,,,,,,,,,
14,B07,67745,,,,,,,,,,
14,B08,68610,,,,,,,,,,
14,B09,112242,,,,,,,,,,
14,B10,52162,,,,,,,,,,
14,B11,52900,,,,,,,,,,
14,B12,30270,,,,,,,,,,
14,C01,109555,,,,,,,,,,
14,C02,127285,,,,,,,,,,
14,C03,150525,,,,,,,,,,
14,C04,84612,,,,,,,,,,
14,C05,90622,,,,,,,,,,
14,C06,112536,,,,,,,,,,
14,C07,130757,,,,,,,,,,
14,C08,125587,,,,,,,,,,
14,C09,285316,,,,,,,,,,
14,C10,122103,,,,,,,,,,
14,C11,125850,,,,,,,,,,
14,C12,29536,,,,,,,,,,
14,D01,107803,,,,,,,,,,
14,D02,131224,,,,,,,,,,
14,D03,127962,,,,,,,,,,
14,D04,65335,,,,,,,,,,
14,D05,121394,,,,,,,,,,
14,D06,117586,,,,,,,,,,
14,D07,126638,,,,,,,,,,
14,D08,101356,,,,,,,,,,
14,D09,117753,,,,,,,,,,
14,D10,155284,,,,,,,,,,
14,D11,119950,,,,,,,,,,
14,D12,30308,,,,,,,,,,
14,E01,30529,,,,,,,,,,
14,E02,126597,,,,,,,,,,
14,E03,91672,,,,,,,,,,
14,E04,103315,,,,,,,,,,
14,E05,104391,,,,,,,,,,
14,E06,30220,,,,,,,,,,
14,E07,123162,,,,,,,,,,
14,E08,114186,,,,,,,,,,
14,E09,133737,,,,,,,,,,
14,E10,54587,,,,,,,,,,
14,E11,416673,,,,,,,,,,
14,E12,113209,,,,,,,,,,
14,F01,29442,,,,,,,,,,
14,F02,123054,,,,,,,,,,
14,F03,111650,,,,,,,,,,
14,F04,130384,,,,,,,,,,
14,F05,100291,,,,,,,,,,
14,F06,127752,,,,,,,,,,
14,F07,76500,,,,,,,,,,
14,F08,267465,,,,,,,,,,
14,F09,121547,,,,,,,,,,
14,F10,114841,,,,,,,,,,
14,F11,123843,,,,,,,,,,
14,F12,111614,,,,,,,,,,
14,G01,30013,,,,,,,,,,
14,G02,122216,,,,,,,,,,
14,G03,102212,,,,,,,,,,
14,G04,103332,,,,,,,,,,
14,G05,125193,,,,,,,,,,
14,G06,54289,,,,,,,,,,
14,G07,125355,,,,,,,,,,
14,G08,124451,,,,,,,,,,
14,G09,116100,,,,,,,,,,
14,G10,119348,,,,,,,,,,
14,G11,117135,,,,,,,,,,
14,G12,110543,,,,,,,,,,
14,H01,28851,,,,,,,,,,
14,H02,116553,,,,,,,,,,
14,H03,94597,,,,,,,,,,
14,H04,97389,,,,,,,,,,
14,H05,100430,,,,,,,,,,
14,H06,92200,,,,,,,,,,
14,H07,119585,,,,,,,,,,
14,H08,114393,,,,,,,,,,
14,H09,130064,,,,,,,,,,
14,H10,58611,,,,,,,,,,
14,H11,118541,,,,,,,,,,
14,H12,111380,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
15,A01,96612,,,,,,,,,,
15,A02,107740,,,,,,,,,,
15,A03,105569,,,,,,,,,,
15,A04,120378,,,,,,,,,,
15,A05,109114,,,,,,,,,,
15,A06,111612,,,,,,,,,,
15,A07,104418,,,,,,,,,,
15,A08,114954,,,,,,,,,,
15,A09,111721,,,,,,,,,,
15,A10,97229,,,,,,,,,,
15,A11,93870,,,,,,,,,,
15,A12,28701,,,,,,,,,,
15,B01,101901,,,,,,,,,,
15,B02,108517,,,,,,,,,,
15,B03,55991,,,,,,,,,,
15,B04,82818,,,,,,,,,,
15,B05,94465,,,,,,,,,,
15,B06,87491,,,,,,,,,,
15,B07,68267,,,,,,,,,,
15,B08,67858,,,,,,,,,,
15,B09,103898,,,,,,,,,,
15,B10,47112,,,,,,,,,,
15,B11,48969,,,,,,,,,,
15,B12,29107,,,,,,,,,,
15,C01,104303,,,,,,,,,,
15,C02,113850,,,,,,,,,,
15,C03,119183,,,,,,,,,,
15,C04,79446,,,,,,,,,,
15,C05,79632,,,,,,,,,,
15,C06,105482,,,,,,,,,,
15,C07,117435,,,,,,,,,,
15,C08,113186,,,,,,,,,,
15,C09,107888,,,,,,,,,,
15,C10,107187,,,,,,,,,,
15,C11,101646,,,,,,,,,,
15,C12,29239,,,,,,,,,,
15,D01,99172,,,,,,,,,,
15,D02,110069,,,,,,,,,,
15,D03,119457,,,,,,,,,,
15,D04,61019,,,,,,,,,,
15,D05,114024,,,,,,,,,,
15,D06,110635,,,,,,,,,,
15,D07,121074,,,,,,,,,,
15,D08,97977,,,,,,,,,,
15,D09,107693,,,,,,,,,,
15,D10,132253,,,,,,,,,,
15,D11,101531,,,,,,,,,,
15,D12,30892,,,,,,,,,,
15,E01,30066,,,,,,,,,,
15,E02,114803,,,,,,,,,,
15,E03,91970,,,,,,,,,,
15,E04,98838,,,,,,,,,,
15,E05,104658,,,,,,,,,,
15,E06,30240,,,,,,,,,,
15,E07,114854,,,,,,,,,,
15,E08,112301,,,,,,,,,,
15,E09,88115,,,,,,,,,,
15,E10,55391,,,,,,,,,,
15,E11,120027,,,,,,,,,,
15,E12,103303,,,,,,,,,,
15,F01,31218,,,,,,,,,,
15,F02,113635,,,,,,,,,,
15,F03,108404,,,,,,,,,,
15,F04,108992,,,,,,,,,,
15,F05,107999,,,,,,,,,,
15,F06,122504,,,,,,,,,,
15,F07,70915,,,,,,,,,,
15,F08,107826,,,,,,,,,,
15,F09,118204,,,,,,,,,,
15,F10,102250,,,,,,,,,,
15,F11,115812,,,,,,,,,,
15,F12,99569,,,,,,,,,,
15,G01,28834,,,,,,,,,,
15,G02,108495,,,,,,,,,,
15,G03,98486,,,,,,,,,,
15,G04,93996,,,,,,,,,,
15,G05,117105,,,,,,,,,,
15,G06,53244,,,,,,,,,,
15,G07,114227,,,,,,,,,,
15,G08,115342,,,,,,,,,,
15,G09,110846,,,,,,,,,,
15,G10,118416,,,,,,,,,,
15,G11,114354,,,,,,,,,,
15,G12,109217,,,,,,,,,,
15,H01,30367,,,,,,,,,,
15,H02,114459,,,,,,,,,,
15,H03,88092,,,,,,,,,,
15,H04,94421,,,,,,,,,,
15,H05,98731,,,,,,,,,,
15,H06,91620,,,,,,,,,,
15,H07,104809,,,,,,,,,,
15,H08,111103,,,,,,,,,,
15,H09,127144,,,,,,,,,,
15,H10,61542,,,,,,,,,,
15,H11,111114,,,,,,,,,,
15,H12,104820,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
