,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
2,A04,105342,,,,,,,,,,
2,A05,117615,,,,,,,,,,
2,A06,122698,,,,,,,,,,
2,A07,115471,,,,,,,,,,
2,A08,124449,,,,,,,,,,
2,A09,121773,,,,,,,,,,
2,A10,73507,,,,,,,,,,
2,A11,107537,,,,,,,,,,
2,A12,27935,,,,,,,,,,
2,B01,114116,,,,,,,,,,
2,B02,108660,,,,,,,,,,
2,B03,47560,,,,,,,,,,
2,B04,96254,,,,,,,,,,
2,B05,102116,,,,,,,,,,
2,B06,92974,,,,,,,,,,
2,B07,111484,,,,,,,,,,
2,B08,107550,,,,,,,,,,
2,B09,103921,,,,,,,,,,
2,B10,46265,,,,,,,,,,
2,B11,43454,,,,,,,,,,
2,B12,28764,,,,,,,,,,
2,C01,122109,,,,,,,,,,
2,C02,117090,,,,,,,,,,
2,C03,109524,,,,,,,,,,
2,C04,62961,,,,,,,,,,
2,C05,74673,,,,,,,,,,
2,C06,104033,,,,,,,,,,
2,C07,112843,,,,,,,,,,
2,C08,108774,,,,,,,,,,
2,C09,112993,,,,,,,,,,
2,C10,66774,,,,,,,,,,
2,C11,92194,,,,,,,,,,
2,C12,28626,,,,,,,,,,
2,D01,104668,,,,,,,,,,
2,D02,97483,,,,,,,,,,
2,D03,100313,,,,,,,,,,
2,D04,53573,,,,,,,,,,
2,D05,96559,,,,,,,,,,
2,D06,102417,,,,,,,,,,
2,D07,105935,,,,,,,,,,
2,D08,103605,,,,,,,,,,
2,D09,94451,,,,,,,,,,
2,D10,75869,,,,,,,,,,
2,D11,100629,,,,,,,,,,
2,D12,28835,,,,,,,,,,
2,E01,29171,,,,,,,,,,
2,E02,98028,,,,,,,,,,
2,E03,88957,,,,,,,,,,
2,E04,93884,,,,,,,,,,
2,E05,75298,,,,,,,,,,
2,E06,103398,,,,,,,,,,
2,E07,111797,,,,,,,,,,
2,E08,113067,,,,,,,,,,
2,E09,91329,,,,,,,,,,
2,E10,45440,,,,,,,,,,
2,E11,78410,,,,,,,,,,
2,E12,106236,,,,,,,,,,
2,F01,29555,,,,,,,,,,
2,F02,97246,,,,,,,,,,
2,F03,89221,,,,,,,,,,
2,F04,91801,,,,,,,,,,
2,F05,100272,,,,,,,,,,
2,F06,109820,,,,,,,,,,
2,F07,194772,,,,,,,,,,
2,F08,110928,,,,,,,,,,
2,F09,118317,,,,,,,,,,
2,F10,111996,,,,,,,,,,
2,F11,94518,,,,,,,,,,
2,F12,112731,,,,,,,,,,
2,G01,28560,,,,,,,,,,
2,G02,89652,,,,,,,,,,
2,G03,92292,,,,,,,,,,
2,G04,96601,,,,,,,,,,
2,G05,100720,,,,,,,,,,
2,G06,63103,,,,,,,,,,
2,G07,109620,,,,,,,,,,
2,G08,111706,,,,,,,,,,
2,G09,89724,,,,,,,,,,
2,G10,105620,,,,,,,,,,
2,G11,107249,,,,,,,,,,
2,G12,110521,,,,,,,,,,
2,H01,28047,,,,,,,,,,
2,H02,93189,,,,,,,,,,
2,H03,101769,,,,,,,,,,
2,H04,82810,,,,,,,,,,
2,H05,88835,,,,,,,,,,
2,H06,81836,,,,,,,,,,
2,H07,97002,,,,,,,,,,
2,H08,104748,,,,,,,,,,
2,H09,119002,,,,,,,,,,
2,H10,54521,,,,,,,,,,
2,H11,98009,,,,,,,,,,
2,H12,106620,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
3,A01,112471,,,,,,,,,,
3,A02,107692,,,,,,,,,,
3,A03,95239,,,,,,,,,,
3,A04,103864,,,,,,,,,,
3,A05,118188,,,,,,,,,,
3,A06,120123,,,,,,,,,,
3,A07,132505,,,,,,,,,,
3,A08,128009,,,,,,,,,,
3,A09,135329,,,,,,,,,,
3,A10,84091,,,,,,,,,,
3,A11,117332,,,,,,,,,,
3,A12,27826,,,,,,,,,,
3,B01,120569,,,,,,,,,,
3,B02,110436,,,,,,,,,,
3,B03,51067,,,,,,,,,,
3,B04,106860,,,,,,,,,,
3,B05,105976,,,,,,,,,,
3,B06,102831,,,,,,,,,,
3,B07,118275,,,,,,,,,,
3,B08,124335,,,,,,,,,,
3,B09,109701,,,,,,,,,,
3,B10,48051,,,,,,,,,,
3,B11,45392,,,,,,,,,,
3,B12,29578,,,,,,,,,,
3,C01,117505,,,,,,,,,,
3,C02,120909,,,,,,,,,,
3,C03,115388,,,,,,,,,,
3,C04,65640,,,,,,,,,,
3,C05,73623,,,,,,,,,,
3,C06,99338,,,,,,,,,,
3,C07,116303,,,,,,,,,,
3,C08,113940,,,,,,,,,,
3,C09,117430,,,,,,,,,,
3,C10,83345,,,,,,,,,,
3,C11,112608,,,,,,,,,,
3,C12,28338,,,,,,,,,,
3,D01,108343,,,,,,,,,,
3,D02,104110,,,,,,,,,,
3,D03,104154,,,,,,,,,,
3,D04,58291,,,,,,,,,,
3,D05,97907,,,,,,,,,,
3,D06,100168,,,,,,,,,,
3,D07,109522,,,,,,,,,,
3,D08,110026,,,,,,,,,,
3,D09,100071,,,,,,,,,,
3,D10,87413,,,,,,,,,,
3,D11,109486,,,,,,,,,,
3,D12,29525,,,,,,,,,,
3,E01,29437,,,,,,,,,,
3,E02,100004,,,,,,,,,,
3,E03,93888,,,,,,,,,,
3,E04,98712,,,,,,,,,,
3,E05,79695,,,,,,,,,,
3,E06,104857,,,,,,,,,,
3,E07,107789,,,,,,,,,,
3,E08,116036,,,,,,,,,,
