groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,611475.673828125,563739.416015625,466142.1923828125,472880.509765625,26321.61405689083,27663.777600873804,25321.662406066695,35935.69388899052
dmso,602644.2722039474,592079.8616776316,498994.0940789474,491331.4167763158,77193.57200419618,77432.14096638616,64505.37234840712,53271.52535512019
lib,561923.0965277777,551706.7313888889,442996.5134027778,437431.36534722225,110952.5290214828,111556.22524764846,75941.1363275995,73281.99386305989
staur,231493.29345703125,222104.05224609375,242675.27001953125,242487.97998046875,15898.258168363107,16017.079457983893,32144.785751660886,15536.426284495667
