Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
A02,200,0.9826109970380842,1.058104791325548,0.018364524060052023,0.08360707016195075,0.9286518737025202,-0.10679022401601201,0.07540290467260746,cbd,1.0794576830477352,0,-0
B02,200,1.0023276532604724,0.9405652548563874,0.026793364199949595,0.03308673124814013,1.06566519237787,0.09175424750993852,0.04708275139886001,cbd,0.97149968958015,0,0
C02,200,1.0526230087502166,1.0209849422715613,0.04939857297685538,0.034962709441781516,1.0309877895047743,0.044027246260603226,0.0598949056427422,cbd,0.9111979782192899,0,0
D02,200,0.962445005256399,0.9718677935384067,0.03643207665053547,0.027566976320590644,0.9903044546339982,-0.014055965992585734,0.04684329027484497,cbd,1.0839910351836881,0,-0
E02,200,0.9999933356948277,1.0084772180080965,0.036770763325445384,0.016033980413351395,0.9915874328524488,-0.012188107726887167,0.03972408165533606,cbd,1.0710355961631208,0,-0
A01,200,0.9595951303099268,1.0021900366418663,0.07416020209946848,0.036708079499903457,0.9574981742238564,-0.06265835880611167,0.08188838829248496,dmso,1.1212749508088264,0,-0
B01,200,0.9141929460991332,1.014628869525916,0.09836018549453573,0.04330382059586073,0.9010121568158105,-0.15038152329964335,0.10429057127941582,dmso,1.1095932993746422,0,-0
C01,200,0.9078446373765217,0.9846718575829098,0.09440973620155678,0.06245305065584528,0.9219768295247341,-0.11719760057743586,0.11230481022171315,dmso,1.1465864499681604,0,-0
D01,200,0.9552969048556298,1.0037688981984196,0.08983246704730521,0.045711246914629744,0.9517100067258627,-0.07140605453960451,0.09943734025859853,dmso,1.1505846872430598,0,-0
E12,200,0.9274820334760705,1.0087068000733705,0.06834694081447608,0.01970473735671953,0.9194763368390181,-0.12111564821565753,0.0700972979445451,dmso,1.0596709327281082,0,-0
F12,200,0.9417864759716034,1.0072163759846844,0.07475843259032047,0.06840665354525671,0.9350388838256181,-0.09690173380584795,0.09768245066517356,dmso,1.1304037851559652,0,-0
