well_type,cbd,comp,Avg,SD
cbd,control,200,136476.86666666667,6787.323213868911
dmso,control,200,137386.91666666666,6403.224099023776
PC,control,200,33725.416666666664,2150.4403172306397
test_compounds,control,200,125098.24,19838.560268388934
cbd,cbd,200,158613.06666666668,13400.477147510546
dmso,cbd,200,133802.375,7590.450143107456
PC,cbd,200,33000.583333333336,1913.0486235932124
test_compounds,cbd,200,138746.83555555556,27333.9765510504
cbd,control,2,116963.73333333334,26765.087225890442
dmso,control,2,125272.41666666667,16050.105701715234
PC,control,2,32470.25,2415.4965688058933
test_compounds,control,2,108140.03555555556,27178.403868147936
cbd,cbd,2,155121.8,5215.246045421607
dmso,cbd,2,132683.70833333334,8841.305060459199
PC,cbd,2,32246.5,1836.637972894566
test_compounds,cbd,2,133539.9022222222,33161.96039689748
