groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,585678.423828125,517617.8095703125,521590.267578125,534497.0048828125,43087.48616825005,63682.287911265434,48640.42760314348,52176.09949436028
dmso,587038.4546052632,568220.8611842105,366490.9210526316,374204.69934210525,61970.57835864504,75025.8138781835,40539.39192533355,40320.39673686772
lib,507374.0540972222,396343.12381944444,305258.80416666664,297511.47805555555,112376.63994415132,114839.02512601783,58082.595896593906,56749.01913263622
staur,201549.708984375,187801.01953125,194620.1708984375,199076.59521484375,15081.62574203835,13773.962192568117,17255.68302543632,17898.745792025955
