groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,481831.0625,464482.4375,454367.53125,442214.125,38753.310884517945,27367.65207077391,29357.826589574168,20398.502941194864
dmso,440953.8210526316,424373.0315789474,457067.1157894737,442000.45263157896,38028.79407624135,29591.253085664404,43442.320755878856,34571.89322506486
lib,416159.14222222223,361641.24888888886,417106.8933333333,387134.5333333333,80725.9327022017,83924.01045264481,83443.16128625478,92312.13503482356
staur,199662.25,197607.6875,189802.4375,181137.75,25750.71906293229,20967.881738718173,25979.282654102946,20008.944314497083
