groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4
bckg,1665.75,1495.8125,1106.78125,1103.90625,76.80137767581533,82.15345102994172,69.78387574874391,68.71181490882421
dmso,1642.5157894736842,1581.4947368421053,1174.7578947368422,1145.6631578947367,210.89217085222418,208.73035000822873,133.4593503966158,108.78170709467769
lib,1545.608888888889,1489.0533333333333,1081.7333333333333,1055.088888888889,304.77968903653397,302.1185268826033,160.4714872314883,140.1571538587231
staur,764.4375,706.4375,758.375,768.875,48.26468521299686,36.00084004396241,89.89554870748248,50.14672021565415
