Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
E03,5000,0.6998035944804368,0.7014206568506344,0.007330304873797612,0.012763761147539346,0.9976945897523776,-0.0033298437359179723,0.0209480894096866,test_compounds,1.0395907685717507,0,-0
E04,5000,0.7888394066422885,0.7638552453680927,0.001191539120239928,0.010519055350109852,1.0327079789340927,0.04643235787810724,0.01430672248932007,test_compounds,1.0040945339554526,2,0.04643235787810724
E05,5000,0.8300651155691996,0.8354222801787045,0.009216828786440492,0.02815556467548653,0.9935874769722937,-0.009281104726537105,0.03525669299023532,test_compounds,1.0641008629527642,0,-0
E06,5000,0.1939766343049218,0.21658821829868008,0.001142103223782165,0.01908874932513953,0.8956010434391385,-0.15907188585317877,0.07910869280103691,test_compounds,1.0538184290412123,0,-0
E07,5000,0.9525366214690156,0.9165924074370275,0.06673196516714752,0.0537833202709199,1.0392150466667023,0.055494224653513106,0.094967676820986,test_compounds,0.8492796930247303,0,0
E08,5000,0.9866223360004893,0.9726964650659131,0.021589832516829464,0.038705456347807726,1.0143167693465736,0.020508273837884852,0.04606208320574577,test_compounds,0.922192602935082,0,0
E09,5000,0.7209808190117998,0.6905086689021573,0.037622037856249214,0.01502841965265131,1.0441300036943637,0.06230135176265922,0.0590336940430137,test_compounds,0.9260626156083362,0,0
E10,5000,0.409792532390002,0.386196049430483,0.02111894455982461,0.0052356347645407045,1.0610997523002017,0.08556028809445924,0.0565449569288534,test_compounds,0.9480098384424949,0,0
E11,5000,0.9561974455167728,1.0349769133165225,0.02288556708009346,0.04719345001361353,0.9238828743074997,-0.11421813000612295,0.04757827533704311,test_compounds,1.019039424981586,0,-0
F02,5000,0.8682413538881832,0.783312142630328,0.03144878520191649,0.023184914606255814,1.108423202751162,0.1485088163502924,0.051848309954909806,test_compounds,1.0047265828413423,2,0.1485088163502924
F03,5000,0.902445335343266,0.8751573072668247,0.05706677345394307,0.023851468340064207,1.0311807121415275,0.044297183980929036,0.0710058452848512,test_compounds,0.8891690215718251,0,0
F04,5000,0.9154551351173261,1.0043960307069015,0.04401700205788926,0.018057107967822197,0.9114483800508668,-0.13376714345394003,0.046787577797601974,test_compounds,1.0050235356460708,0,-0
F05,5000,0.7827383093199861,0.834824150867793,0.04276874007034078,0.020518232699979284,0.9376086071615631,-0.09294228125741985,0.05617513503447245,test_compounds,1.049958877230508,0,-0
F06,5000,1.0244211945849877,0.9785851479950834,0.07534589878415414,0.04370353147743404,1.0468390989622238,0.06603971450573752,0.09007726819908349,test_compounds,0.8666845625640569,0,0
F07,5000,0.6221056785019714,0.5786463157228662,0.07412227743421879,0.006780459343993487,1.0751052267995764,0.10447787167743564,0.12871398885232288,test_compounds,0.8176772490949307,0,0
F08,5000,0.8797246880012185,0.9464560497773945,0.12324552903452655,0.013403713171935958,0.9294934383990983,-0.1054834141670211,0.13088155564138707,test_compounds,1.1912565496818723,0,-0
F09,5000,0.98494459545731206,0.9952411966937977,0.09029363809292912,0.03549618097258884,0.989654164969566,-0.015003631967482693,0.09734971580981691,test_compounds,1.1843535965891998,0,-0
F10,5000,0.7916556950107114,0.8681562422135201,0.07376478612723154,0.029708024941132987,0.9118815905674343,-0.13308159483054818,0.09051590589178074,test_compounds,1.0929134023509959,0,-0
F11,5000,0.8684484500706469,0.936023090955046,0.09832061829513473,0.019465507378123446,0.927806651847177,-0.10810390535780057,0.10679819118464404,test_compounds,1.1414030342164652,0,-0
G02,5000,1.0199852067053663,0.957563197972081,0.03784721797305493,0.04729704019284079,1.0651883957794974,0.09110861694828205,0.06580511568136332,test_compounds,0.9335781644167708,0,0
G03,5000,0.7981280340820711,0.8190778374080456,0.0195896737036148,0.021083720860567978,0.9744226954152859,-0.03738035923981736,0.03465744469283793,test_compounds,1.0437375848009618,0,-0
G04,5000,0.8066906892937887,0.7826248838945044,0.008853543441413933,0.02274354031559553,1.030750115278124,0.043694622575644035,0.03201921256909708,test_compounds,0.9667116901399299,0,0
G05,5000,0.9597089329710105,0.996556376513524,0.02473590206739848,0.0077546765496885155,0.9630252292685887,-0.05435450069827882,0.025927922106716447,test_compounds,1.0148810734820215,0,-0
G06,5000,0.4089827867865107,0.3827955085494519,0.001432411236756744,0.005621251769402548,1.0684106204283632,0.09546622212195578,0.016129397255779655,test_compounds,1.0361518259168039,2,0.09546622212195578
G07,5000,1.0849350804787732,1.0255114105836334,0.057087349935197394,0.052660513188889854,1.057945400979323,0.0812651739841421,0.0777827302744413,test_compounds,0.9023799404304405,0,0
G08,5000,1.0077818965475096,1.1054160035351812,0.021301526917313296,0.03414141775779096,0.9116765935399593,-0.13340595870197108,0.03412026508484473,test_compounds,0.9799171237096488,2,-0.13340595870197108
G09,5000,0.9598464056968404,0.8083057796693751,0.03220877006183826,0.015761097143653348,1.1874793300246482,0.24790240124950527,0.046086206608605275,test_compounds,1.0953069168074376,2,0.24790240124950527
G10,5000,0.972284764842658,0.9874580415688375,0.02345779243260951,0.00811766468972932,0.9846340035855369,-0.022340532079614943,0.025096913970041455,test_compounds,1.0348278315256199,0,-0
G11,5000,0.7285560806816775,0.9815084054637374,0.004072129892244182,0.041625946896087375,0.7422820595585766,-0.4299605945604712,0.03175253007669514,test_compounds,0.8057871197119669,2,-0.4299605945604712
H02,5000,0.9427264687351475,0.9394734112245349,0.034840631381741635,0.016385824195639286,1.003462639252741,0.004986903528449577,0.04100773070305746,test_compounds,0.9214471778466261,0,0
H03,5000,0.6548261156556261,0.6585695880950986,0.012618222516385983,0.06335703755359752,0.994315752644606,-0.0082240313919832,0.09755716645578234,test_compounds,1.1894300855561708,0,-0
H04,5000,0.6157529386344318,0.5801296307042494,0.02961047826556252,0.024800169368605542,1.0614057721667094,0.08597629958822833,0.06829374536451412,test_compounds,0.9248182814376812,0,0
H05,5000,0.7063557439077504,0.8108301769677336,0.022226235835696648,0.026748470662338604,0.8711512767683525,-0.19900482808043513,0.039715201826437875,test_compounds,0.9505816804212283,2,-0.19900482808043513
H06,5000,0.5261838073902179,0.5653680225655858,0.010591891198129939,0.019298219133193618,0.9306925513799776,-0.1036234339283735,0.03688086944064765,test_compounds,1.004454290261273,0,-0
